object_id,name,link,image_link,location_label,location_name,type,accession,negative_number,image_source,image_type
3440,Pierced Bronze Ornaments,https://library.artstor.org/#/asset/SS7730479_7730479_10871397,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3918021.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),lamp,1938.224,1938'2240~01,,
4392,Bronze Scales (2 scales),https://library.artstor.org/#/asset/SS7730479_7730479_10839303,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3917029.fpx/full/1024,/0/default.jpg",Palmyrene Gate,"private houses/shops (k505, k245, k501, k302); Main Gate (Palmyrene Gate) (k175); Temple of Ar[temis?]? (i844)",scales,,dam-142~01,Damascus photo,film negative
13505,Bronze Scales (1+ scales),https://library.artstor.org/#/asset/SS7730479_7730479_10839309,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895417.fpx/full/,1024/0/default.jpg",Palmyrene Gate,"private houses/shops (k505, k245, k501, k302); Main Gate (Palmyrene Gate) (k175); Temple of Ar[temis?]? (i844)",scales,,dam-142~01,Damascus photo,film negative
13495,Bronze Scales (2 scales),https://library.artstor.org/#/asset/SS7730479_7730479_10839420,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895424.fpx/full/1024,/0/default.jpg",Palmyrene Gate,"Main street (k569); Main Gate (Palmyrene Gate) (k130); private houses/shops (k220, k148, k112); private house/shop, Street h (k475); Temple of Atargatis (k751)",scales,,dam-143~01,Damascus photo,film negative
13837,"altars and inscriptions in Main Gate (Palmyrene Gate), west wall of passage",https://library.artstor.org/#/asset/SS7730479_7730479_10872099,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895100.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),altar,,dura-b108~01,Dura field photo,glass negative
13836,Altars and inscriptions in Main Gate (Palmyrene Gate),https://library.artstor.org/#/asset/SS7730479_7730479_10872101,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895101.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),altar,,dura-b109~01,Dura field photo,glass negative
13834,Latin and Palmyrene altars from Main Gate (Palmyrene Gate),https://library.artstor.org/#/asset/SS7730479_7730479_10872105,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895103.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),altar,,dura-b110~01,Dura field photo,glass negative
13833,Latin and Palmyrene altars from Main Gate (Palmyrene Gate),https://library.artstor.org/#/asset/SS7730479_7730479_10872107,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895104.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),altar,,dura-b111~01,Dura field photo,film negative
13832,Latin altar from Main Gate (Palmyrene Gate),https://library.artstor.org/#/asset/SS7730479_7730479_10872109,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895105.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),altar,,dura-b112~01,Dura field photo,film negative
13830,Latin Altar from Main Gate (Palmyrene Gate),https://library.artstor.org/#/asset/SS7730479_7730479_10872113,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895107.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),altar,,dura-b114~01,Dura field photo,glass negative
