object_id,name,location_label,location_name,type,accession,negative_number,upload_fname
11068,arrow head,,(D7) Private houses,,1932.152,1932'1521~01,"Dura-Europos archival photograph, YUAG negative number 1932'1521~01 -object-id-11068.jpg"
1251,Bronze Fibula,,"[illegible] XX, 7, 8",,1938.1981,1938'1983~01,"Dura-Europos archival photograph, YUAG negative number 1938'1983~01 -object-id-1251.jpg"
15030,2 earrings,,1) House of the Court; 2) House of the Frescoes,,,dura-d360~01,"Dura-Europos archival photograph, YUAG negative number dura-d360~01 -object-id-15030.jpg"
7490,Pierced Bronze Ornaments,,"1) Temple of Zeus Kyrios, 3) ?, 4) Mithraeum",,,yale756,"Dura-Europos archival photograph, YUAG negative number yale756 -object-id-7490.jpg"
13425,Bronze Rings,,10) Synagogue: house of the Roman scribes,,,yale828,"Dura-Europos archival photograph, YUAG negative number yale828 -object-id-13425.jpg"
6089,"Plaster cornices (1930.545, 1931.392g)",,"1931.392g: d5, Orthonobazos",,1930.549,y760,"Dura-Europos archival photograph, YUAG negative number y760 -object-id-6089.jpg"
13524,Bronze Fibulae,,"2) Private Houses, 7) Synagogue; house of the Roman scribes",,,yale732,"Dura-Europos archival photograph, YUAG negative number yale732 -object-id-13524.jpg"
13523,Bronze Fibulae,,"2) Private Houses, 7) Synagogue: house of the Roman scribes",,"2) 1938.2046, 7) 1938.2043",yale733,"Dura-Europos archival photograph, YUAG negative number yale733 -object-id-13523.jpg"
13522,Bronze Fibulae,,2) Synagogue; house of the Roman scribes,,"2) 1938.2046, 7)1938.2043",yale734,"Dura-Europos archival photograph, YUAG negative number yale734 -object-id-13522.jpg"
13528,Bronze Fibulae,,"2) Synagogue; house of the Roman scribes, 5) Synagogue; house of the Roman scribes",,,yale726,"Dura-Europos archival photograph, YUAG negative number yale726 -object-id-13528.jpg"
13508,Pierced Bronze,,3) Bath,,,yale745,"Dura-Europos archival photograph, YUAG negative number yale745 -object-id-13508.jpg"
4571,Pierced Bronzes - Misc.,,6) Christian Building,,,yale747,"Dura-Europos archival photograph, YUAG negative number yale747 -object-id-4571.jpg"
13531,Bronze Fibulae,,6) private house. Roman Bath,,,yale723,"Dura-Europos archival photograph, YUAG negative number yale723 -object-id-13531.jpg"
1727,Enamelled Bronze Ornaments,,7) Mithraeum,,,yale739,"Dura-Europos archival photograph, YUAG negative number yale739 -object-id-1727.jpg"
13403,Enamelled Bronzes - ornaments,,7) Mithraeum,,,yale849,"Dura-Europos archival photograph, YUAG negative number yale849 -object-id-13403.jpg"
8540,"Bronze Fibulae, Hooks, and Rings",,8) m9 (?),,1938.2587,yale839,"Dura-Europos archival photograph, YUAG negative number yale839 -object-id-8540.tif"
13512,"Jewelry, much enameled",,9) Private Houses,,7) 1933.637a,yale740,"Dura-Europos archival photograph, YUAG negative number yale740 -object-id-13512.jpg"
9609,Two Fragments of Sculpture,,a and b) Temple of Artemis,,"a) 1929.391, 1938.5345",yale1454,"Dura-Europos archival photograph, YUAG negative number yale1454 -object-id-9609.jpg"
4195,Drains south of kiln in A-42,,"A-42, Area West of St. Theodore",,,gerasa-a112~01 A-112,"Dura-Europos archival photograph, YUAG negative number gerasa-a112~01 A-112 -object-id-4195.jpg"
11873,Green Glazed Pitchers,,"a) Baghouz, b) private houses, shops",,1938.4806,yale1219,"Dura-Europos archival photograph, YUAG negative number yale1219 -object-id-11873.jpg"
12404,Fragments of textiles,,a) embankment l7,,1938.5548,yale1574,"Dura-Europos archival photograph, YUAG negative number yale1574 -object-id-12404.jpg"
11879,Green Glazed Pitchers,,"a) g7, b) tomb 24, c) tomb 40",,"a) 1931.443, b) 1935.532, c) 1935.538",yale1213,"Dura-Europos archival photograph, YUAG negative number yale1213 -object-id-11879.jpg"
